-40.000000 41.295359  -40.000000 41.619650  -40.000000 42.087364  -40.000000 41.818169 
-39.900000 41.755115  -39.900000 41.790868  -39.900000 41.828148  -39.900000 41.897635 
-39.800000 41.679775  -39.800000 41.706093  -39.800000 41.889513  -39.800000 42.079797 
-39.700000 42.234694  -39.700000 41.394805  -39.700000 42.015778  -39.700000 41.926121 
-39.600000 42.199986  -39.600000 42.275430  -39.600000 42.040555  -39.600000 42.224054 
-39.500000 41.770561  -39.500000 42.040225  -39.500000 42.251347  -39.500000 42.125055 
-39.400000 41.906030  -39.400000 42.541903  -39.400000 42.298616  -39.400000 42.308260 
-39.300000 41.356916  -39.300000 41.993782  -39.300000 42.184250  -39.300000 42.437983 
-39.200000 42.747700  -39.200000 42.798914  -39.200000 42.533933  -39.200000 42.541624 
-39.100000 42.650799  -39.100000 42.806168  -39.100000 42.995114  -39.100000 42.750646 
-39.000000 42.448561  -39.000000 42.683157  -39.000000 42.830959  -39.000000 42.711244 
-38.900000 43.113564  -38.900000 42.648257  -38.900000 42.850746  -38.900000 42.777740 
-38.800000 43.541367  -38.800000 42.729593  -38.800000 42.841060  -38.800000 43.101423 
-38.700000 44.085630  -38.700000 43.207286  -38.700000 42.992008  -38.700000 43.044437 
-38.600000 44.335996  -38.600000 43.281062  -38.600000 43.345260  -38.600000 43.137768 
-38.500000 43.050557  -38.500000 43.267024  -38.500000 43.293533  -38.500000 43.309679 
-38.400000 43.032738  -38.400000 43.286539  -38.400000 43.143030  -38.400000 43.382834 
-38.300000 42.883175  -38.300000 43.365331  -38.300000 43.502921  -38.300000 43.369711 
-38.200000 43.336100  -38.200000 43.124388  -38.200000 43.617973  -38.200000 43.621104 
-38.100000 44.492272  -38.100000 43.700890  -38.100000 43.370407  -38.100000 43.687102 
-38.000000 44.574865  -38.000000 43.216134  -38.000000 43.890939  -38.000000 43.707731 
-37.900000 44.540762  -37.900000 43.461321  -37.900000 43.890568  -37.900000 43.931278 
-37.800000 44.315280  -37.800000 43.311730  -37.800000 44.002241  -37.800000 43.952487 
-37.700000 43.205762  -37.700000 44.110317  -37.700000 43.921606  -37.700000 44.017842 
-37.600000 44.341381  -37.600000 43.833491  -37.600000 43.960078  -37.600000 44.207646 
-37.500000 44.801022  -37.500000 44.308665  -37.500000 44.028556  -37.500000 44.315402 
-37.400000 44.174793  -37.400000 44.066080  -37.400000 44.243940  -37.400000 44.350578 
-37.300000 45.596360  -37.300000 44.800570  -37.300000 44.400250  -37.300000 44.401627 
-37.200000 43.616064  -37.200000 44.935215  -37.200000 44.363895  -37.200000 44.677792 
-37.100000 44.730993  -37.100000 45.249553  -37.100000 44.576706  -37.100000 44.704372 
-37.000000 44.375555  -37.000000 44.916686  -37.000000 44.672695  -37.000000 44.793067 
-36.900000 44.821396  -36.900000 44.515230  -36.900000 44.758189  -36.900000 44.727995 
-36.800000 45.056692  -36.800000 44.901102  -36.800000 44.889799  -36.800000 45.013465 
-36.700000 45.373029  -36.700000 44.973760  -36.700000 45.113562  -36.700000 45.066200 
-36.600000 45.842587  -36.600000 44.938163  -36.600000 45.192196  -36.600000 45.102088 
-36.500000 44.930498  -36.500000 45.220915  -36.500000 45.483189  -36.500000 45.170382 
-36.400000 45.084835  -36.400000 45.354601  -36.400000 45.386161  -36.400000 45.285187 
-36.300000 45.560987  -36.300000 45.252930  -36.300000 45.112251  -36.300000 45.420102 
-36.200000 46.764733  -36.200000 45.327076  -36.200000 45.777931  -36.200000 45.431385 
-36.100000 47.033398  -36.100000 44.984351  -36.100000 45.466916  -36.100000 45.666590 
-36.000000 45.185391  -36.000000 45.517982  -36.000000 45.899174  -36.000000 45.750659 
-35.900000 46.680482  -35.900000 45.411430  -35.900000 45.574766  -35.900000 45.694541 
-35.800000 46.432588  -35.800000 45.657808  -35.800000 45.835924  -35.800000 45.934620 
-35.700000 46.467379  -35.700000 45.933783  -35.700000 46.176094  -35.700000 46.045732 
-35.600000 46.994446  -35.600000 45.875009  -35.600000 46.215121  -35.600000 46.173555 
-35.500000 46.625943  -35.500000 45.797386  -35.500000 46.119909  -35.500000 46.199401 
-35.400000 46.547202  -35.400000 46.208549  -35.400000 46.167733  -35.400000 46.488554 
-35.300000 46.067454  -35.300000 46.695059  -35.300000 46.528806  -35.300000 46.386105 
-35.200000 46.614402  -35.200000 46.477110  -35.200000 46.516052  -35.200000 46.642686 
-35.100000 46.347497  -35.100000 47.112502  -35.100000 46.501014  -35.100000 46.546784 
-35.000000 46.403931  -35.000000 47.015275  -35.000000 46.723411  -35.000000 46.831303 
-34.900000 47.238293  -34.900000 46.607817  -34.900000 46.759108  -34.900000 46.880789 
-34.800000 48.072758  -34.800000 47.084186  -34.800000 46.783247  -34.800000 46.965242 
-34.700000 47.765122  -34.700000 46.608776  -34.700000 46.846610  -34.700000 47.139182 
-34.600000 47.723376  -34.600000 47.730308  -34.600000 47.027932  -34.600000 47.122528 
-34.500000 46.674781  -34.500000 47.630436  -34.500000 47.184214  -34.500000 47.140082 
-34.400000 47.670355  -34.400000 47.378804  -34.400000 47.288296  -34.400000 47.302765 
-34.300000 47.874288  -34.300000 47.212548  -34.300000 47.435436  -34.300000 47.451078 
-34.200000 49.120595  -34.200000 47.691639  -34.200000 47.501398  -34.200000 47.588161 
-34.100000 46.919670  -34.100000 47.888963  -34.100000 47.412342  -34.100000 47.637283 
-34.000000 47.505309  -34.000000 47.272357  -34.000000 47.801557  -34.000000 47.714188 
-33.900000 47.925778  -33.900000 47.719425  -33.900000 47.777766  -33.900000 47.794329 
-33.800000 48.089487  -33.800000 47.744813  -33.800000 47.800222  -33.800000 48.033505 
-33.700000 47.299313  -33.700000 47.809407  -33.700000 47.984645  -33.700000 47.994334 
-33.600000 47.671103  -33.600000 48.228608  -33.600000 48.089486  -33.600000 48.303110 
-33.500000 48.080772  -33.500000 48.086326  -33.500000 48.052746  -33.500000 48.207812 
-33.400000 48.902502  -33.400000 48.172866  -33.400000 48.391307  -33.400000 48.364211 
-33.300000 48.275920  -33.300000 48.163634  -33.300000 48.605358  -33.300000 48.412343 
-33.200000 49.335818  -33.200000 48.428651  -33.200000 48.645083  -33.200000 48.634103 
-33.100000 49.308026  -33.100000 48.260635  -33.100000 48.368658  -33.100000 48.765586 
-33.000000 48.987054  -33.000000 48.609555  -33.000000 48.674138  -33.000000 48.818303 
-32.900000 50.071790  -32.900000 48.961478  -32.900000 48.753755  -32.900000 48.740956 
-32.800000 48.511218  -32.800000 49.524810  -32.800000 49.187481  -32.800000 48.905331 
-32.700000 49.473011  -32.700000 49.012834  -32.700000 49.083497  -32.700000 48.946787 
-32.600000 48.993989  -32.600000 48.556386  -32.600000 49.034011  -32.600000 49.115809 
-32.500000 50.587230  -32.500000 48.948281  -32.500000 49.392443  -32.500000 49.205868 
-32.400000 48.736101  -32.400000 48.948917  -32.400000 49.116515  -32.400000 49.289876 
-32.300000 49.175864  -32.300000 49.252930  -32.300000 49.557346  -32.300000 49.592309 
-32.200000 50.625967  -32.200000 49.360244  -32.200000 49.606137  -32.200000 49.430456 
-32.100000 49.812977  -32.100000 49.714178  -32.100000 49.921601  -32.100000 49.592837 
-32.000000 49.885194  -32.000000 50.006130  -32.000000 49.857955  -32.000000 49.723740 
