-40.000000 46.188495  -40.000000 46.286858  -40.000000 45.831357  -40.000000 46.568137 
-39.900000 46.234573  -39.900000 47.936105  -39.900000 46.694495  -39.900000 46.851158 
-39.800000 46.594264  -39.800000 49.587811  -39.800000 49.481581  -39.800000 47.024275 
-39.700000 46.969625  -39.700000 45.839808  -39.700000 46.922109  -39.700000 47.279310 
-39.600000 46.427793  -39.600000 46.954721  -39.600000 47.360675  -39.600000 47.202490 
-39.500000 46.764799  -39.500000 48.107855  -39.500000 47.622902  -39.500000 47.265935 
-39.400000 46.830731  -39.400000 49.357959  -39.400000 49.577030  -39.400000 47.402195 
-39.300000 47.567968  -39.300000 49.782497  -39.300000 46.619634  -39.300000 47.367975 
-39.200000 47.922134  -39.200000 50.114120  -39.200000 46.681843  -39.200000 47.430076 
-39.100000 46.338881  -39.100000 45.630728  -39.100000 46.099723  -39.100000 47.651662 
-39.000000 46.859935  -39.000000 45.656337  -39.000000 47.620313  -39.000000 47.918235 
-38.900000 47.001016  -38.900000 45.633218  -38.900000 47.020448  -38.900000 47.998374 
-38.800000 47.905971  -38.800000 50.588271  -38.800000 46.076416  -38.800000 47.956048 
-38.700000 48.124303  -38.700000 50.434917  -38.700000 49.664070  -38.700000 47.826380 
-38.600000 48.066974  -38.600000 50.234343  -38.600000 48.309035  -38.600000 47.732142 
-38.500000 47.920916  -38.500000 49.657290  -38.500000 49.202119  -38.500000 48.166470 
-38.400000 48.078359  -38.400000 48.333346  -38.400000 47.959300  -38.400000 48.348147 
-38.300000 47.535105  -38.300000 47.248623  -38.300000 50.833712  -38.300000 48.227956 
-38.200000 48.790122  -38.200000 51.015869  -38.200000 49.315841  -38.200000 48.315996 
-38.100000 48.354795  -38.100000 49.783901  -38.100000 46.735418  -38.100000 48.547773 
-38.000000 48.008748  -38.000000 47.909446  -38.000000 49.769650  -38.000000 48.832396 
-37.900000 48.832534  -37.900000 51.053016  -37.900000 47.117983  -37.900000 49.091920 
-37.800000 47.581835  -37.800000 49.492277  -37.800000 49.517468  -37.800000 48.982795 
-37.700000 48.224025  -37.700000 46.852961  -37.700000 51.420112  -37.700000 49.134911 
-37.600000 48.541192  -37.600000 49.733035  -37.600000 48.343114  -37.600000 48.941225 
-37.500000 47.602099  -37.500000 46.916660  -37.500000 49.818774  -37.500000 49.338930 
-37.400000 49.213693  -37.400000 49.341682  -37.400000 49.444457  -37.400000 49.485716 
-37.300000 49.234808  -37.300000 51.477261  -37.300000 51.000125  -37.300000 49.128472 
-37.200000 48.772670  -37.200000 48.151236  -37.200000 51.748080  -37.200000 49.711127 
-37.100000 48.907656  -37.100000 49.749084  -37.100000 50.125771  -37.100000 49.488978 
-37.000000 49.387249  -37.000000 51.439424  -37.000000 51.205233  -37.000000 49.417148 
-36.900000 49.392764  -36.900000 52.203716  -36.900000 51.893874  -36.900000 49.797431 
-36.800000 48.415119  -36.800000 47.867065  -36.800000 49.767105  -36.800000 49.987462 
-36.700000 49.815167  -36.700000 48.802442  -36.700000 50.137447  -36.700000 50.029126 
-36.600000 48.843055  -36.600000 49.337549  -36.600000 49.775810  -36.600000 49.973552 
-36.500000 48.918906  -36.500000 49.473412  -36.500000 52.106443  -36.500000 50.089046 
-36.400000 49.171044  -36.400000 49.534680  -36.400000 49.644156  -36.400000 50.380165 
-36.300000 48.927039  -36.300000 49.403164  -36.300000 48.885815  -36.300000 50.489555 
-36.200000 47.640233  -36.200000 49.119487  -36.200000 50.912514  -36.200000 50.434783 
-36.100000 48.270701  -36.100000 53.175057  -36.100000 52.259107  -36.100000 50.494888 
-36.000000 48.019011  -36.000000 52.610212  -36.000000 50.813591  -36.000000 50.285214 
-35.900000 48.291507  -35.900000 51.314237  -35.900000 51.968458  -35.900000 50.789677 
-35.800000 48.633456  -35.800000 49.529180  -35.800000 53.017207  -35.800000 50.875449 
-35.700000 48.361331  -35.700000 53.298138  -35.700000 48.806419  -35.700000 51.037021 
-35.600000 48.682952  -35.600000 51.411163  -35.600000 49.162353  -35.600000 50.828895 
-35.500000 48.532945  -35.500000 48.820417  -35.500000 49.295737  -35.500000 50.850079 
-35.400000 48.408120  -35.400000 51.604711  -35.400000 49.192048  -35.400000 51.018234 
-35.300000 48.650767  -35.300000 53.904614  -35.300000 53.754115  -35.300000 51.257383 
-35.200000 48.686913  -35.200000 50.788961  -35.200000 53.404241  -35.200000 51.010045 
-35.100000 49.020779  -35.100000 52.875721  -35.100000 52.691687  -35.100000 51.237893 
-35.000000 48.980019  -35.000000 54.263004  -35.000000 51.274142  -35.000000 51.602846 
-34.900000 49.197160  -34.900000 50.413504  -34.900000 53.200975  -34.900000 51.849904 
-34.800000 49.398675  -34.800000 51.539643  -34.800000 51.550614  -34.800000 51.991310 
-34.700000 49.767332  -34.700000 52.446815  -34.700000 52.255237  -34.700000 51.683858 
-34.600000 49.489142  -34.600000 52.665865  -34.600000 50.134026  -34.600000 51.850207 
-34.500000 49.498711  -34.500000 52.839049  -34.500000 52.841565  -34.500000 51.705074 
-34.400000 49.256983  -34.400000 52.630083  -34.400000 53.369261  -34.400000 51.950264 
-34.300000 49.946039  -34.300000 52.112841  -34.300000 52.632210  -34.300000 52.077152 
-34.200000 49.612362  -34.200000 51.223312  -34.200000 54.546863  -34.200000 52.117482 
-34.100000 50.151810  -34.100000 55.497221  -34.100000 54.118219  -34.100000 52.171490 
